model,calibration,test_auroc,test_auprc,test_brier,calibration_slope,calibration_intercept,threshold,test_precision,test_recall,test_f1
HistGradientBoosting,uncalibrated,0.8696605113719609,0.5401349408698982,0.0837819839642406,1.0546464447708048,0.08183770489722691,0.3083395810376389,0.5244252873563219,0.5263157894736842,0.525368837711407
HistGradientBoosting,sigmoid,0.873057091527118,0.5525717560394959,0.08278142473919442,1.1146994484270358,0.12541926587458088,0.29847898832509495,0.5105960264900662,0.5558759913482336,0.5322747670003452
HistGradientBoosting,isotonic,0.8730610653091478,0.5524894161594056,0.0828069434591882,1.102765604378779,0.10474749836901483,0.31983072298686915,0.5311143270622286,0.5291997116077866,0.530155290718671
XGBoost,uncalibrated,0.859609251189345,0.5240813537754068,0.08686253605801456,0.78058529165492,-0.22143416483914083,0.345672070980072,0.5251177394034537,0.4823359769286229,0.5028184892897407
XGBoost,sigmoid,0.8681374690958168,0.5477715458981969,0.08566299610048878,1.274559295334433,0.41932280032890756,0.3026221937485338,0.5758651286601597,0.467916366258111,0.5163086714399363
XGBoost,isotonic,0.8684729526332406,0.5476562902804806,0.0841540542091475,1.2185273348017756,0.2601133578948292,0.34019262591997784,0.5690987124463519,0.47801009372746933,0.5195924764890282
LightGBM,uncalibrated,0.8709394269581533,0.5445644727218102,0.13609394974478678,1.0785306051504921,-1.6521214471078711,0.6797332669482209,0.49482653682288497,0.5861571737563086,0.5366336633663367
LightGBM,sigmoid,0.8709818139664709,0.5474212677325463,0.08380120215578336,1.1001740864153442,0.10840969706745152,0.3308562826353844,0.5070153061224489,0.5731795241528479,0.5380710659898477
LightGBM,isotonic,0.8710905109537102,0.5475648420344493,0.08319853534455707,1.0856307932018345,0.09020851292797331,0.2966988635494578,0.5070694087403599,0.5688536409516943,0.5361875637104995
