metric,mean,lcl_95,ucl_95
auroc,0.6222705684349892,0.469796050842009,0.7695623485635167
auprc,0.17056774317401374,0.07905610451292555,0.29499517922670554
accuracy,0.8971982758620689,0.8448275862068966,0.9482758620689655
precision,0.0,0.0,0.0
recall,0.0,0.0,0.0
f1,0.0,0.0,0.0
brier,0.10405969598450873,0.062121118004536284,0.14829679234228768
