experiment,model,best_params,cv_best_roc_auc,threshold,test_auroc,test_auprc,test_accuracy,test_precision,test_recall,test_f1,test_brier,n_features
base_imputation,HistGradientBoosting,{},,0.3083395810376389,0.8696605113719609,0.5401349408698982,0.8727816358024691,0.5244252873563219,0.5263157894736842,0.525368837711407,0.0837819839642406,74
base_imputation,XGBoost,{},,0.345672070980072,0.859609251189345,0.5240813537754068,0.8723958333333334,0.5251177394034537,0.4823359769286229,0.5028184892897407,0.08686253605801456,74
base_imputation,LightGBM,{},,0.6797332669482209,0.8709394269581533,0.5445644727218102,0.8645833333333334,0.49482653682288497,0.5861571737563086,0.5366336633663367,0.13609394974478678,74
missing_indicators_and_burden,HistGradientBoosting,{},,0.2844337534117456,0.8710499703491638,0.5538122756451123,0.8622685185185185,0.487000634115409,0.5537130497476568,0.5182186234817814,0.0829085971413408,150
missing_indicators_and_burden,XGBoost,{},,0.34791645407676697,0.8610142039025429,0.5310470224215932,0.8747106481481481,0.5355987055016181,0.47728911319394374,0.5047655356462066,0.08585315133363494,150
missing_indicators_and_burden,LightGBM,{},,0.6878259122386094,0.871774162019683,0.5507024954326761,0.8645833333333334,0.4946908182386009,0.5710165825522711,0.5301204819277109,0.13642577226928101,150
