model,best_f1_threshold,test_accuracy,test_precision,test_recall,test_f1
DecisionTree,0.8144066813594711,0.8017241379310345,0.21052631578947367,0.3333333333333333,0.25806451612903225
LogisticRegression,0.7481240446588215,0.7931034482758621,0.16666666666666666,0.25,0.2
