model,best_f1_threshold,test_accuracy,test_precision,test_recall,test_f1
CatBoost,0.6700804362143611,0.8559027777777778,0.4700280112044818,0.6049026676279741,0.5290037831021438
DecisionTree,0.6604701225552834,0.7507716049382716,0.29718739410369366,0.6322999279019467,0.40433379437528816
ExtraTrees,0.558888118356236,0.8271604938271605,0.3898858075040783,0.5169430425378515,0.444513329200248
HistGradientBoosting,0.3154871107323349,0.8775077160493827,0.5436241610738255,0.5255948089401586,0.5344574780058651
LightGBM,0.6878227638600326,0.8715277777777778,0.518370073480294,0.5594808940158615,0.5381414701803051
LogisticRegression,0.6303654846930357,0.8187692901234568,0.38838475499092556,0.6171593366979091,0.47674742411584514
RandomForest,0.5745909733609675,0.8067129629629629,0.3561771561771562,0.5508291276135544,0.43261608154020387
XGBoost,0.2829199731349945,0.8684413580246914,0.5076923076923077,0.5472242249459265,0.5267175572519084
