metric,mean,lcl_95,ucl_95
auroc,0.873747079343261,0.8646948852564691,0.8828033862622794
auprc,0.5575536831104169,0.5291902774489842,0.5831905816272912
accuracy,0.8696618441358025,0.8629436728395061,0.8759645061728395
precision,0.5107788194477306,0.48539965195758156,0.5359273557546922
recall,0.5650444782499581,0.5407555416771299,0.5895682989435097
f1,0.536458248489436,0.514898125656562,0.5577409352757664
brier,0.1370287628950523,0.1336338180292176,0.14072793320021845
