model,best_params,cv_best_roc_auc,test_auroc,test_auprc,test_accuracy,test_precision,test_recall,test_f1,test_brier
LightGBM,"{'model__learning_rate': 0.03, 'model__n_estimators': 400, 'model__num_leaves': 31}",0.8631154876920192,0.8741878934194731,0.5559671112467495,0.8715277777777778,0.518370073480294,0.5594808940158615,0.5381414701803051,0.13160791309379558
HistGradientBoosting,"{'model__learning_rate': 0.03, 'model__max_depth': None, 'model__max_iter': 400}",0.8624050061179453,0.8727364594982902,0.5547246498322674,0.8775077160493827,0.5436241610738255,0.5255948089401586,0.5344574780058651,0.08265677481279572
XGBoost,"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 400}",0.8605806759245992,0.8697119698422858,0.5461190238179867,0.8684413580246914,0.5076923076923077,0.5472242249459265,0.5267175572519084,0.08352822189372032
CatBoost,"{'model__depth': 4, 'model__iterations': 400, 'model__learning_rate': 0.05}",0.8604933393408295,0.8696653280774513,0.5331185162774215,0.8559027777777778,0.4700280112044818,0.6049026676279741,0.5290037831021438,0.1496251387514579
LogisticRegression,{'model__C': 0.5},0.8355967659619846,0.8384648774264855,0.4547846754851739,0.8187692901234568,0.38838475499092556,0.6171593366979091,0.47674742411584514,0.16697633984264784
ExtraTrees,"{'model__max_depth': 6, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}",0.8140829780060772,0.8212413019330161,0.44402530073920493,0.8271604938271605,0.3898858075040783,0.5169430425378515,0.444513329200248,0.19864015368527138
RandomForest,"{'model__max_depth': 6, 'model__min_samples_leaf': 5, 'model__n_estimators': 100}",0.8142365255223891,0.8195362684677505,0.43648391206824555,0.8067129629629629,0.3561771561771562,0.5508291276135544,0.43261608154020387,0.17650430655815383
DecisionTree,"{'model__max_depth': 5, 'model__min_samples_leaf': 5}",0.7725059363155873,0.7794340242603005,0.33742474831447156,0.7507716049382716,0.29718739410369366,0.6322999279019467,0.40433379437528816,0.19592680212127936
